model,feature,importance_shap,shap_rank,importance_lime,lime_rank,shap_top10,lime_top10,top10_overlap
Gradient Boosting,hemoglobin,0.0002393865247134,13,0.0,6,False,True,False
Gradient Boosting,ast,0.0002114827788547,14,,0,False,False,False
Gradient Boosting,smoking_status,0.0002103911023648,15,,0,False,False,False
Gradient Boosting,temperature_f,0.0001799109552301,16,0.0,8,False,True,False
Gradient Boosting,heart_rate,0.0001699979596764,17,0.0,4,False,True,False
Gradient Boosting,total_cholesterol,0.0001427301962467,18,,0,False,False,False
Gradient Boosting,systolic_bp,0.0001008225418934,19,0.0,7,False,True,False
Gradient Boosting,route,9.08258194370651e-05,20,,0,False,False,False
Gradient Boosting,height_cm,8.054152620295289e-05,21,0.0,5,False,True,False
Gradient Boosting,hba1c,8.048026295989255e-05,22,,0,False,False,False
Gradient Boosting,wbc_count,8.04151649594629e-05,23,0.0,9,False,True,False
Gradient Boosting,diastolic_bp,7.757556471185676e-05,24,0.0,3,False,True,False
Gradient Boosting,duration_days,3.426202751657522e-05,25,,0,False,False,False
Gradient Boosting,alcohol_use,1.6921666408974813e-05,26,,0,False,False,False
