model,test_samples,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high
Decision Tree,197176,0.5910607781880147,0.6057598433755003,0.3017402045769764,0.632325892958514,0.5791937937924865,0.4085324257117079,0.6417364933102583,0.32604708784614084,0.23489641966631306,88696,64441,16192,27847,0.5889796425528462,0.5930654592851057,0.6026781202653797,0.6079000094519064
Random Forest,197176,0.5891437091735302,0.598289403363988,0.2971335762258022,0.6148186834396785,0.5817601232882974,0.4006421875809208,0.6325772438502381,0.3160343290270671,0.238259357637688,89089,64048,16963,27076,0.5868543839006776,0.590975701910983,0.5956216051118313,0.60063282090851
XGBoost,197176,0.7767020327017486,0.5025967122048232,0.5080128205128205,0.007198165262608143,0.9979952591470382,0.014195195127958265,0.6456177357730007,0.33141873324654214,0.16552945971488953,152830,307,43722,317,0.7743290258449305,0.7783901184728365,0.5021940359853446,0.5030541762465598
Gradient Boosting,197176,0.7766361017568061,0.5000063818946932,0.2857142857142857,4.54142918776539e-05,0.9999673494975088,9.081414884438995e-05,0.6436947828014071,0.33055297819438684,0.16610685410891526,153132,5,44037,2,0.7742975818558039,0.7783210177709254,0.4999729086080563,0.5000388393725779
Neural Network,197176,0.5884133971680123,0.6071372143018884,0.30167144017441117,0.6409773155612071,0.5732971130425697,0.41025790089455055,0.646249851844054,0.33281759282630874,0.23307175934314728,87793,65344,15811,28228,0.5863102000243438,0.5902491936138273,0.6046225562951434,0.6092747655712792
LSTM,197176,0.5994035785288271,0.6066740750164283,0.30484359120402943,0.6198142555462204,0.5935338944866362,0.4086839347207666,0.6462379110825025,0.3313014896118027,0.231843963265419,90892,62245,16743,27296,0.5972652604779486,0.6012586470970097,0.6041728801794694,0.6089541157486054
